cpu_utilization,memory_usage,disk_io,network_latency,process_count,thread_count,context_switches,cache_miss_rate,temperature,power_consumption,uptime,status,screen_brightness,cpu_frequency,power_saver_active
35.37,60.96,5.8,18.2,226,2938,20084,16.64,56.63,21.05,22.31,0,64.2,1235.2,0
24.86,35.17,33.4,4.33,231,4389,23300,4.28,49.15,16.53,25.1,0,51.9,875.2,1
41.6,63.19,36.04,6.45,278,3058,21747,9.49,57.17,27.29,71.12,0,66.9,2162.2,0
16.0,81.66,0.22,21.27,233,4660,23507,6.48,51.14,19.71,79.63,0,60.2,1354.0,1
55.03,80.07,5.9,5.62,348,5568,34540,13.89,64.8,33.16,57.82,0,52.3,2372.4,0
11.09,31.05,7.46,10.58,299,6877,32800,19.08,42.19,15.19,22.21,0,43.1,1345.9,0
50.99,34.79,60.59,10.11,118,1534,14663,13.13,60.42,33.16,184.26,0,74.7,2492.3,0
17.73,62.22,43.28,15.67,224,3584,19632,9.39,49.39,20.06,12.71,0,49.4,1312.6,1
19.83,38.98,14.85,18.22,67,603,4987,7.93,46.75,18.71,5.05,0,71.8,1224.6,1
37.62,64.28,0.7,2.66,79,711,8432,6.3,61.37,22.1,379.83,0,60.3,1110.6,1
54.35,29.35,3.18,14.45,252,3276,22946,9.19,58.64,34.63,1.46,0,25.8,2757.9,0
8.48,53.93,8.54,8.1,178,3560,18445,17.18,45.51,17.55,79.75,0,47.7,1578.8,0
35.79,69.16,47.93,17.01,108,1836,13991,8.64,61.1,27.33,27.18,0,85.1,1974.2,0
27.33,31.72,1.49,4.19,314,2826,18989,13.38,54.0,21.83,299.29,0,81.2,1351.0,1
13.44,53.25,23.51,22.41,162,1782,11384,11.13,50.01,20.39,30.75,0,93.0,1285.9,1
35.33,53.04,3.18,7.94,194,3880,22869,8.97,57.14,23.08,128.61,0,25.5,1814.5,0
13.28,64.1,10.63,9.66,312,3432,19746,8.49,49.53,20.94,27.68,0,81.4,1553.7,0
32.64,44.97,21.85,32.41,271,5691,30706,6.6,55.23,21.83,39.9,0,59.5,1692.2,1
16.58,33.58,17.69,11.23,156,1872,11578,16.08,48.34,17.15,79.69,0,54.0,1580.7,0
20.77,17.14,22.42,22.04,298,6556,32934,2.84,46.7,19.87,131.52,0,50.7,1489.6,1
26.34,74.88,25.2,12.01,118,2242,14328,14.82,52.97,24.63,106.97,0,58.7,2078.5,0
39.0,67.52,5.47,33.08,311,5909,32985,7.03,61.74,27.85,42.83,0,82.5,2171.7,0
15.36,54.63,6.79,14.94,307,4298,24068,6.26,44.04,21.94,7.76,0,93.6,1558.8,0
30.55,54.23,25.37,16.61,122,2440,16029,10.79,56.09,22.86,19.16,0,91.8,1774.6,1
20.33,61.38,0.59,13.57,339,5763,30677,15.69,49.36,18.76,5.75,0,36.4,1867.5,0
18.39,69.49,10.84,10.2,248,4464,23279,11.28,51.27,22.65,126.91,0,75.8,1575.5,0
36.78,24.74,37.96,20.6,169,3718,22016,19.55,54.33,28.27,114.19,0,98.0,2261.0,0
20.21,28.3,32.44,7.78,107,856,7607,6.02,47.24,19.62,68.3,0,68.6,1345.6,1
18.63,26.11,24.47,18.86,115,1380,9283,13.03,48.58,18.65,115.24,0,48.4,1708.1,0
28.35,49.81,0.33,21.69,98,1372,10731,19.34,55.38,18.59,86.96,0,83.7,1025.8,1
10.04,57.73,32.8,16.81,190,1900,11464,8.92,49.64,20.2,1.01,0,88.6,1187.0,0
20.77,70.19,36.4,6.92,176,3344,18340,10.03,54.67,20.72,22.38,0,24.8,1709.4,0
30.96,11.34,16.34,15.93,313,6573,34406,9.4,51.71,19.71,11.87,0,47.3,1878.9,0
4.44,34.93,5.33,22.85,195,3315,16816,7.18,41.75,16.46,86.3,0,68.2,1329.6,0
12.46,56.96,10.1,5.7,99,1881,10627,11.22,47.47,20.76,97.86,0,86.7,1567.4,0
21.1,58.82,21.57,4.88,281,5620,29375,13.8,50.34,18.91,51.26,0,41.3,1398.6,1
35.82,52.0,25.15,20.23,236,2360,17654,9.04,58.46,23.47,9.6,0,92.9,1169.5,1
65.22,38.12,6.31,8.27,127,1905,17475,13.1,68.17,39.81,214.27,0,48.6,2697.0,0
16.23,44.51,5.92,19.07,220,2420,14602,12.1,47.88,19.86,80.19,0,40.9,1643.6,0
6.94,52.95,19.99,34.01,193,1737,10701,9.95,41.65,14.72,81.57,0,20.1,1229.1,0
7.68,29.25,17.39,5.04,344,4472,23422,10.48,48.77,13.49,34.03,0,42.4,1164.4,1
17.44,42.2,10.8,4.78,78,936,7674,11.07,47.27,20.12,49.42,0,78.3,1805.0,0
54.35,34.29,8.18,19.72,288,6336,35379,13.92,67.48,27.15,128.73,0,70.0,1674.4,0
6.17,62.53,16.06,26.77,262,3668,19371,6.06,46.64,18.8,27.9,0,55.2,1096.9,0
23.57,41.28,0.49,34.08,293,5860,30792,5.9,52.31,20.36,0.19,0,73.4,992.7,0
31.33,35.39,1.18,19.77,68,1292,10478,6.32,50.71,23.67,16.4,0,61.7,2045.5,0
15.26,47.24,12.77,11.24,174,1566,10379,5.27,49.88,17.45,58.69,0,53.9,1442.1,0
38.69,66.29,3.54,12.9,205,2460,17785,4.95,59.97,22.37,17.63,0,30.2,1766.7,1
48.46,54.66,22.36,14.91,307,3684,24268,6.5,63.85,31.64,90.38,0,50.7,2511.9,0
9.59,71.53,22.2,33.45,130,2470,13272,15.53,49.0,16.4,11.58,0,27.0,1535.1,0
36.62,69.23,18.57,14.52,140,1400,12205,11.1,61.53,27.23,64.85,0,68.7,2220.4,0
29.84,43.75,35.09,8.05,91,1365,10051,16.31,55.81,23.12,9.8,0,89.8,1859.0,0
22.38,57.02,2.28,13.93,341,4774,26723,11.17,58.13,18.84,92.38,0,30.5,1598.0,0
16.43,71.47,4.5,4.77,239,3824,21019,5.83,53.48,20.08,9.18,0,73.9,1374.0,0
46.14,47.76,4.36,8.73,209,3553,22904,8.02,62.27,24.15,402.14,0,37.1,1682.0,0
9.83,58.6,22.88,10.13,139,2919,15021,8.61,48.28,17.99,59.97,0,35.1,1437.7,1
17.92,41.47,11.05,9.64,343,4459,25141,3.17,48.54,21.6,31.51,0,83.5,1702.1,0
34.3,51.62,4.37,4.7,88,1056,9695,14.59,57.4,25.52,20.56,0,64.4,2183.1,0
27.47,51.13,2.2,5.98,218,2616,17610,4.58,51.69,19.7,106.93,0,95.3,1266.0,0
44.33,64.41,33.53,12.04,153,3366,21455,5.63,61.24,31.02,32.39,0,98.6,2068.9,0
13.27,49.25,17.67,20.15,163,3260,17212,9.03,45.21,17.66,6.2,0,72.2,1022.0,1
40.06,58.23,11.28,9.48,84,1512,12223,10.64,59.77,22.67,78.52,0,52.2,1830.8,1
32.26,60.72,50.49,12.74,122,1586,11914,13.27,54.56,23.15,44.86,0,43.4,1752.9,0
29.24,43.16,28.42,20.62,303,2424,18558,9.78,51.69,18.09,204.24,0,32.8,1276.7,0
11.36,48.96,2.94,60.49,240,4560,22897,17.55,48.53,17.93,76.57,0,58.4,1265.2,0
34.16,61.95,10.64,10.08,138,1932,13165,5.74,60.47,23.81,14.01,0,57.4,1740.9,1
17.0,82.58,9.99,7.35,114,1026,7330,3.68,47.75,19.74,52.98,0,20.1,1601.9,0
80.15,36.14,27.9,19.57,160,1600,17479,11.96,71.82,60.65,71.11,1,76.8,3257.2,0
13.18,62.88,2.42,20.31,69,828,6366,4.79,52.49,19.2,22.22,0,47.2,1409.3,1
12.55,73.21,9.02,5.56,340,7140,34427,3.56,46.0,19.36,83.79,0,87.8,962.7,0
33.7,56.43,15.18,6.23,120,1800,13620,15.09,52.58,21.86,109.57,0,51.5,1447.3,0
3.44,41.45,43.58,5.36,242,5082,24104,6.72,39.43,19.45,1.13,0,94.8,900.0,0
15.94,54.21,34.43,7.93,325,6825,33330,15.36,49.4,19.63,18.29,0,76.5,1150.3,0
26.15,40.49,11.45,20.45,229,3664,21164,13.2,55.19,20.62,42.7,0,53.2,1771.7,0
24.91,47.46,14.0,15.09,122,1952,13458,5.82,51.16,20.49,70.16,0,62.0,1333.4,1
6.86,60.78,28.7,13.48,318,2544,15577,11.49,43.07,17.88,18.7,0,50.9,1248.4,0
45.95,54.09,20.46,6.76,63,1197,12364,7.06,63.03,30.52,146.22,0,55.3,2445.7,0
54.15,57.94,31.72,6.45,300,2700,21080,8.6,66.26,36.24,16.85,0,24.2,2758.3,0
26.06,37.46,33.94,12.74,215,2580,16794,6.73,50.84,18.39,133.45,0,39.1,885.4,0
6.75,45.84,26.81,11.83,225,4050,20622,13.29,44.18,19.12,43.45,0,95.0,1569.9,0
4.68,64.2,0.14,16.34,70,700,4831,1.3,43.53,17.55,6.99,0,65.5,1078.2,0
12.71,29.88,5.59,28.01,302,3926,22211,4.15,45.8,16.45,84.15,0,20.9,848.0,0
32.66,35.11,7.75,6.15,141,1410,11694,7.43,54.8,19.88,80.9,0,99.8,1230.7,0
11.91,50.42,16.99,11.14,185,1850,12212,9.38,45.03,16.88,41.44,0,47.2,1505.9,0
10.78,47.24,5.5,13.04,270,5400,26631,7.7,44.6,19.42,7.82,0,95.5,851.2,0
32.46,66.54,5.86,13.68,267,4539,25778,16.92,60.65,25.12,7.72,0,96.2,1764.6,0
21.94,19.08,7.67,12.74,115,1380,9756,7.48,48.44,19.1,205.3,0,62.2,1760.6,0
